left_set,right_set,reason
BLD-ST-Columns,BLD-ST-Foundation,column sits on its foundation
BLD-ST-Framing,BLD-ST-Columns,beam frames into its column
BLD-ST-Framing,BLD-ST-Foundation,beam bears on foundation
BLD-ST-Walls,BLD-ST-Foundation,wall sits on foundation
BLD-ST-Walls,BLD-ST-Framing,wall meets beam
BLD-ST-Floors,BLD-ST-Walls,slab meets wall
BLD-ST-Floors,BLD-ST-Columns,slab forms around column
BLD-ST-Stair,BLD-ST-Floors,stair lands on slab
BLD-AR-Doors,BLD-AR-Walls,door sits in wall
BLD-AR-Windows,BLD-AR-Walls,window sits in wall
BLD-AR-Curtain Panels,BLD-AR-Curtain Mullions,panel is held by mullion
BLD-AR-Railings,BLD-AR-Stairs,railing sits on stair
BLD-AR-Railings,BLD-AR-Floors,railing sits on slab
BLD-AR-Stairs,BLD-AR-Floors,stair lands on slab
BLD-AR-Ramps,BLD-AR-Floors,ramp meets slab
BLD-AR-Ceilings,BLD-AR-Walls,ceiling meets wall
BLD-AR-Walls,BLD-AR-Floors,wall sits on floor finish
BLD-ST-Walls,BLD-AR-Floors,floor finish laps the structural wall
BLD-ST-Walls,BLD-AR-Walls,architectural wall build-up laps the structural wall
BLD-ST-Walls,BLD-AR-Doors,door frame sits in the structural wall
BLD-ST-Walls,BLD-AR-Ceilings,ceiling meets the structural wall
BLD-ST-Framing,BLD-AR-Walls,wall meets beam
BLD-ST-Framing,BLD-AR-Floors,floor finish laps the beam
BLD-ST-Framing,BLD-AR-Ceilings,ceiling meets beam
BLD-ST-Floors,BLD-AR-Floors,floor finish sits on the structural slab
BLD-ST-Floors,BLD-AR-Walls,wall sits on the structural slab
BLD-ST-Columns,BLD-AR-Floors,floor finish laps the column
BLD-ST-Columns,BLD-AR-Walls,wall meets column
BLD-ST-Foundation,BLD-AR-Floors,floor finish sits on the foundation
BLD-EL-Lighting Fixtures,BLD-AR-Ceilings,light is recessed in ceiling
BLD-ME-Ducts&Duct Fittings,BLD-ME-Duct Accessory,damper sits in duct run
BLD-ME-Ducts&Duct Fittings,BLD-ME-Air Terminals,diffuser connects to duct
BLD-ME-Ducts&Duct Fittings,BLD-ME-Flex Ducts,flex connects to duct
BLD-ME-Ducts&Duct Fittings,BLD-ME-Mechanical Equipment,duct connects to plant
BLD-ME-Pipes&Pipe Fittings,BLD-ME-Pipe Accessories,valve sits in pipe run
BLD-ME-Pipes&Pipe Fittings,BLD-ME-Plumbing Fixtures,pipe connects to fixture
BLD-ME-Pipes&Pipe Fittings,BLD-ME-Flex Pipes,flex connects to pipe
BLD-ME-Pipes&Pipe Fittings,BLD-ME-Mechanical Equipment,pipe connects to plant
BLD-FF-Pipes & Pipe Fittings,BLD-FF-Pipe Accessories,valve sits in pipe run
BLD-FF-Pipes & Pipe Fittings,BLD-FF-Pipe Insulations,insulation wraps its own pipe
BLD-FF-Pipes & Pipe Fittings,BLD-FF-Sprinklers,sprinkler head connects to pipe
BLD-FF-Pipes & Pipe Fittings,BLD-FF-Plumbing Fixtures,pipe connects to fixture
BLD-FF-Pipes & Pipe Fittings,BLD-FF-Mechanical Equipment,pipe connects to pump
BLD-PL-Pipes & Pipe Fittings,BLD-PL-Pipe Accessories,valve sits in pipe run
BLD-PL-Pipes & Pipe Fittings,BLD-PL-Pipe Insulations,insulation wraps its own pipe
BLD-PL-Pipes & Pipe Fittings,BLD-PL-Plumbing Fixtures,pipe connects to fixture
BLD-PL-Pipes & Pipe Fittings,BLD-PL-Mechanical Equipment,pipe connects to plant
BLD-DR-Pipes & Pipe Fittings,BLD-DR-Pipe Accessories,valve sits in pipe run
BLD-DR-Pipes & Pipe Fittings,BLD-DR-Pipe Insulations,insulation wraps its own pipe
BLD-DR-Pipes & Pipe Fittings,BLD-DR-Plumbing Fixtures,pipe connects to fixture
BLD-DR-Pipes & Pipe Fittings,BLD-DR-Mechanical Equipment,pipe connects to plant
BLD-EL-Conduits & Conduit Fittings,BLD-EL-Electrical Equipment,conduit lands on panel
BLD-EL-Conduits & Conduit Fittings,BLD-EL-Electrical Fixtures,conduit lands on fixture
BLD-EL-Conduits & Conduit Fittings,BLD-EL-Cable Tray&Cable Tray Fittings,conduit enters tray
BLD-EL-Cable Tray&Cable Tray Fittings,BLD-EL-Electrical Equipment,tray lands on panel
